year,age_name,cases,age,period,cohort,log_cases
2009,50-54 years,50924.47385134234,52.5,2009,1956.5,10.838118545938164
2010,50-54 years,50390.610830245896,52.5,2010,1957.5,10.82757998842399
2011,50-54 years,50512.20378654498,52.5,2011,1958.5,10.829990042208152
2012,50-54 years,51240.79171622536,52.5,2012,1959.5,10.844310722538783
2013,50-54 years,52777.36433992943,52.5,2013,1960.5,10.87385661942799
2014,50-54 years,54793.18990791518,52.5,2014,1961.5,10.91133944373702
2015,50-54 years,57025.0103362196,52.5,2015,1962.5,10.95126276442167
2016,50-54 years,59136.72206360031,52.5,2016,1963.5,10.98762427497104
2017,50-54 years,60868.17045151963,52.5,2017,1964.5,11.016482093195986
2018,50-54 years,62061.67897197849,52.5,2018,1965.5,11.035900104521192
2019,50-54 years,62920.237109759146,52.5,2019,1966.5,11.04963901860892
2020,50-54 years,63145.96090231505,52.5,2020,1967.5,11.053220001558278
2021,50-54 years,67266.19896680822,52.5,2021,1968.5,11.116428011484807
1990,55-59 years,40130.87255002411,57.5,1990,1932.5,10.599926124271102
1991,55-59 years,41053.99568385948,57.5,1991,1933.5,10.622667805012192
1992,55-59 years,41966.73966787188,57.5,1992,1934.5,10.644656498977234
1993,55-59 years,42735.61256616381,57.5,1993,1935.5,10.662811268974172
1994,55-59 years,43324.12064035263,57.5,1994,1936.5,10.676487899123556
1995,55-59 years,43835.64551834061,57.5,1995,1937.5,10.688225402233154
1996,55-59 years,44152.15230399149,57.5,1996,1938.5,10.695419603347164
1997,55-59 years,44372.82626987242,57.5,1997,1939.5,10.700405076171506
1998,55-59 years,44696.85496880421,57.5,1998,1940.5,10.707680792175161
1999,55-59 years,45093.948675980224,57.5,1999,1941.5,10.71652551646811
2000,55-59 years,45640.75317478239,57.5,2000,1942.5,10.728578216357931
2001,55-59 years,47314.945793836254,57.5,2001,1943.5,10.764602638044806
2002,55-59 years,50529.55733865553,57.5,2002,1944.5,10.830333528081756
2003,55-59 years,53979.74205275114,57.5,2003,1945.5,10.896382633286533
2004,55-59 years,58382.03744103082,57.5,2004,1946.5,10.97478067184929
2005,55-59 years,61170.36485760342,57.5,2005,1947.5,11.021434464520032
