disease,ligand,receptor,sender,receiver,mean_ligand,mean_receptor,score
Normal,SERPINE1,PLAU,natural killer cell,mast cell,0.013663219287991524,0.04867101460695267,0.0006650027353316545
Normal,SERPINE1,LRP1,natural killer cell,pulmonary alveolar type 2 cell,0.013663219287991524,0.04979923740029335,0.000680417928379029
Normal,SERPINE1,PLAUR,natural killer cell,pulmonary alveolar type 2 cell,0.013663219287991524,0.08510953187942505,0.0011628702050074935
Normal,SERPINE1,ITGAV,natural killer cell,pulmonary alveolar type 2 cell,0.013663219287991524,0.3477472960948944,0.004751347471028566
Normal,SERPINE1,ITGB3,natural killer cell,pulmonary alveolar type 2 cell,0.013663219287991524,0.001568294013850391,2.1427944375318475e-05
Normal,SERPINE1,VTN,natural killer cell,pulmonary alveolar type 2 cell,0.013663219287991524,0.001968085067346692,2.68903786491137e-05
Normal,SERPINE1,PLAU,natural killer cell,pulmonary alveolar type 2 cell,0.013663219287991524,0.0009738014778122306,1.3305263564689085e-05
Normal,SERPINE1,LRP1,natural killer cell,vein endothelial cell,0.013663219287991524,0.01389493141323328,0.0001898494956549257
Normal,SERPINE1,PLAUR,natural killer cell,vein endothelial cell,0.013663219287991524,0.36070504784584045,0.004928392358124256
Normal,SERPINE1,ITGAV,natural killer cell,vein endothelial cell,0.013663219287991524,1.3018479347229004,0.01778743416070938
Normal,SERPINE1,ITGB3,natural killer cell,vein endothelial cell,0.013663219287991524,0.14101922512054443,0.001926776603795588
Normal,SERPINE1,VTN,natural killer cell,vein endothelial cell,0.013663219287991524,0.00043039844604209065,5.880628123122733e-06
Normal,SERPINE1,PLAU,natural killer cell,vein endothelial cell,0.013663219287991524,0.01011657528579235,0.0001382249902235344
Normal,SERPINE1,LRP1,natural killer cell,lung multiciliated epithelial cell,0.013663219287991524,0.10350595414638519,0.0014142245054244995
Normal,SERPINE1,PLAUR,natural killer cell,lung multiciliated epithelial cell,0.013663219287991524,0.09738852828741074,0.0013306408654898405
Normal,SERPINE1,ITGAV,natural killer cell,lung multiciliated epithelial cell,0.013663219287991524,0.18617400527000427,0.0025437362492084503
Normal,SERPINE1,ITGB3,natural killer cell,lung multiciliated epithelial cell,0.013663219287991524,0.06405186653137207,0.0008751546847634017
Normal,SERPINE1,VTN,natural killer cell,lung multiciliated epithelial cell,0.013663219287991524,0.005472810938954353,7.477621693396941e-05
Normal,SERPINE1,PLAU,natural killer cell,lung multiciliated epithelial cell,0.013663219287991524,0.02393346093595028,0.0003270081360824406
Normal,SERPINE1,LRP1,natural killer cell,smooth muscle cell,0.013663219287991524,0.571965754032135,0.007814893499016762
Normal,SERPINE1,PLAUR,natural killer cell,smooth muscle cell,0.013663219287991524,0.08600547164678574,0.0011751116253435612
Normal,SERPINE1,ITGAV,natural killer cell,smooth muscle cell,0.013663219287991524,0.44389525055885315,0.0060650380328297615
Normal,SERPINE1,ITGB3,natural killer cell,smooth muscle cell,0.013663219287991524,0.016222920268774033,0.00022165731934364885
Normal,SERPINE1,VTN,natural killer cell,smooth muscle cell,0.013663219287991524,0.06872478872537613,0.0009390018531121314
Normal,SERPINE1,PLAU,natural killer cell,smooth muscle cell,0.013663219287991524,0.0348949059844017,0.0004767767386510968
